iter	Passed	Remaining
822	1136	244
823	1137	242
824	1138	241
825	1139	240
826	1141	238
827	1142	237
828	1143	235
829	1144	234
830	1146	233
831	1147	231
832	1148	230
833	1149	228
834	1151	227
835	1152	226
836	1153	224
837	1154	223
838	1156	221
839	1157	220
840	1158	219
841	1159	217
842	1161	216
843	1162	214
844	1164	213
845	1165	212
846	1166	210
847	1167	209
848	1169	207
849	1170	206
850	1171	205
851	1172	203
852	1174	202
853	1175	200
854	1176	199
855	1177	198
856	1179	196
857	1180	195
858	1181	193
859	1183	192
860	1184	191
861	1185	189
862	1186	188
863	1187	186
864	1189	185
865	1190	184
866	1191	182
867	1192	181
868	1194	180
869	1195	178
870	1196	177
871	1198	175
872	1199	174
873	1200	173
874	1201	171
875	1203	170
876	1204	168
877	1205	167
878	1207	166
879	1208	164
880	1209	163
881	1210	161
882	1212	160
883	1213	159
884	1214	157
885	1215	156
886	1217	155
887	1218	153
888	1219	152
889	1221	150
890	1222	149
891	1223	148
892	1224	146
893	1226	145
894	1227	143
895	1228	142
896	1229	141
897	1231	139
898	1232	138
899	1234	137
900	1235	135
901	1236	134
902	1237	132
903	1239	131
904	1240	130
905	1241	128
906	1243	127
907	1244	126
908	1245	124
909	1247	123
910	1248	121
911	1250	120
912	1251	119
913	1252	117
914	1254	116
915	1255	115
916	1256	113
917	1257	112
918	1259	110
919	1260	109
920	1261	108
921	1263	106
922	1264	105
923	1265	104
924	1266	102
925	1268	101
926	1269	99
927	1270	98
928	1272	97
929	1273	95
930	1274	94
931	1275	93
932	1277	91
933	1278	90
934	1279	88
935	1280	87
936	1281	86
937	1283	84
938	1284	83
939	1285	82
940	1286	80
941	1288	79
942	1289	77
943	1290	76
944	1291	75
945	1293	73
946	1294	72
947	1295	71
948	1297	69
949	1298	68
950	1299	66
951	1301	65
952	1302	64
953	1304	62
954	1305	61
955	1307	60
956	1309	58
957	1310	57
958	1312	56
959	1313	54
960	1315	53
961	1317	52
962	1318	50
963	1320	49
964	1321	47
965	1323	46
966	1324	45
967	1326	43
968	1328	42
969	1330	41
970	1332	39
971	1334	38
972	1336	37
973	1338	35
974	1341	34
975	1343	33
976	1345	31
977	1347	30
978	1349	28
979	1351	27
980	1353	26
981	1355	24
982	1358	23
983	1360	22
984	1362	20
985	1364	19
986	1366	18
987	1369	16
988	1372	15
989	1374	13
990	1375	12
991	1377	11
992	1379	9
993	1381	8
994	1383	6
995	1384	5
996	1387	4
997	1389	2
998	1391	1
999	1393	0
